,p1,p2,p3,
n1,-3.3159200054813085,-0.10225339397254522,-0.0,
n2,-3.082568184912226,-0.09476807830649288,-0.0,
n3,-5.451814518356559,0.08,-7.965480884960784,
n4,-0.6232883478219,0.0,-1.825355173742688,
n5,-2.239049051077294,0.0,-5.716173268178327,
n6,0.0,0.0,0.0,
n7,2.3657590560000004,0.08,-0.0,
