Solving time,2021-6-18 20:15
Total social welfare (million USD/year),
505756.10
Total revenue (million USD/year),
0.00
Total supply cost (million USD/year),
-975000.00
Total transportation cost (million USD/year),
405201.90
Total technology operational cost (million USD/year),
64042.00
Total annulized investment cost (million USD/year),
0.00
